Nested Sampling Global Log-Evidence           :   -0.590470835578508741E+03  +/-    0.183636628611424768E+00
Nested Importance Sampling Global Log-Evidence:                         NaN  +/-    0.695323784807383630-309

Dim No.       Mean        Sigma
   1   -0.296902973441757112E+01    0.000000000000000000E+00
   2   -0.789872170428148834E+00    0.000000000000000000E+00
   3    0.418003535879797692E-02    0.000000000000000000E+00
   4    0.791965266491225066E+03    0.000000000000000000E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.296902973441757112E+01
   2   -0.789872170428148834E+00
   3    0.418003535879797692E-02
   4    0.791965266491225066E+03

MAP Parameters
Dim No.        Parameter
   1   -0.296902973441757112E+01
   2   -0.789872170428148834E+00
   3    0.418003535879797692E-02
   4    0.791965266491225066E+03
