Nested Sampling Global Log-Evidence           :   -0.167556171291878542E+03  +/-    0.219749767531570384E+00
Nested Importance Sampling Global Log-Evidence:   -0.169320816175303520E+03  +/-    0.157909112883179749E-01

Dim No.       Mean        Sigma
   1   -0.293501061752668635E+01    0.568945017233456404E-01
   2   -0.183973540149709924E+01    0.162876708510518853E+01
   3   -0.194157020606904940E+01    0.161974908601400358E+01
   4    0.489009069606079982E+00    0.303256997030222852E+00
   5    0.113287368546107541E+04    0.626425138565863460E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.296313857631978372E+01
   2   -0.292302807290019118E+00
   3   -0.398696260250705592E+01
   4    0.203433288890080027E+00
   5    0.113588815854318750E+04

MAP Parameters
Dim No.        Parameter
   1   -0.296313857631978372E+01
   2   -0.292302807290019118E+00
   3   -0.398696260250705592E+01
   4    0.203433288890080027E+00
   5    0.113588815854318750E+04
