Nested Sampling Global Log-Evidence           :   -0.143888049052898396E+03  +/-    0.239845364541029893E+00
Nested Importance Sampling Global Log-Evidence:   -0.144916685695480680E+03  +/-    0.144468067153260115E-01

Dim No.       Mean        Sigma
   1   -0.185956297935842962E+01    0.182742187962357146E-01
   2   -0.183358602866053344E+01    0.740258513152426967E+00
   3   -0.184356330895314846E+01    0.740021646899520436E+00
   4    0.498287026841899461E+00    0.260987542067239897E+00
   5    0.834785766013349189E+03    0.350973431417889481E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.185448671957651667E+01
   2   -0.257603720640560008E+01
   3   -0.109398315285271708E+01
   4    0.760560425247979510E+00
   5    0.834127289740615765E+03

MAP Parameters
Dim No.        Parameter
   1   -0.185448671957651667E+01
   2   -0.257603720640560008E+01
   3   -0.109398315285271708E+01
   4    0.760560425247979510E+00
   5    0.834127289740615765E+03
